content,score,Label,textCaseFolding,textStopWord,textClean,textTokens,teksNormalized,textSteam,appsTokensFdist,topTokens
"assalamualaikum aplikasinya bagus, cuma kurangnya adalah fitur untuk mengubah qory di aplikasinya menurut saya agak ribet, jika mau mengganti harus kembali lagi ke pengaturan menurut saya agak ribet karena harus bolak balik, kalau bisa di tambahkan fitur untuk opsi menngganti qory nya di saat membaca alquraan dan juga menambahkan qory internasional , terimahkasih",5,1,"assalamualaikum aplikasinya bagus, cuma kurangnya adalah fitur untuk mengubah qory di aplikasinya menurut saya agak ribet, jika mau mengganti harus kembali lagi ke pengaturan menurut saya agak ribet karena harus bolak balik, kalau bisa di tambahkan fitur untuk opsi menngganti qory nya di saat membaca alquraan dan juga menambahkan qory internasional , terimahkasih","assalamualaikum aplikasinya bagus, kurangnya fitur mengubah qory aplikasinya ribet, mengganti pengaturan ribet bolak balik, tambahkan fitur opsi menngganti qory nya membaca alquraan qory internasional , terimahkasih","assalamualaikum aplikasinya bagus, kurangnya fitur mengubah qory aplikasinya ribet, mengganti pengaturan ribet bolak balik, tambahkan fitur opsi menngganti qory nya membaca alquraan qory internasional , terimahkasih","['assalamualaikum', 'aplikasinya', 'bagus', ',', 'kurangnya', 'fitur', 'mengubah', 'qory', 'aplikasinya', 'ribet', ',', 'mengganti', 'pengaturan', 'ribet', 'bolak', 'balik', ',', 'tambahkan', 'fitur', 'opsi', 'menngganti', 'qory', 'nya', 'membaca', 'alquraan', 'qory', 'internasional', ',', 'terimahkasih']","['assalamualaikum', 'aplikasinya', 'bagus', ',', 'kurangnya', 'fitur', 'mengubah', 'qory', 'aplikasinya', 'ribet', ',', 'mengganti', 'pengaturan', 'ribet', 'bolak', 'balik', ',', 'tambahkan', 'fitur', 'opsi', 'menngganti', 'qory', 'nya', 'membaca', 'alquraan', 'qory', 'internasional', ',', 'terimahkasih']","['assalamualaikum', 'aplikasi', 'bagus', 'kurang', 'fitur', 'ubah', 'qory', 'aplikasi', 'ribet', 'ganti', 'atur', 'ribet', 'bolak', 'balik', 'tambah', 'fitur', 'opsi', 'menngganti', 'qory', 'baca', 'alquraan', 'qory', 'internasional', '', 'terimahkasih']",<FreqDist with 20 samples and 25 outcomes>,"[('qory', 3), ('aplikasi', 2), ('fitur', 2), ('ribet', 2), ('assalamualaikum', 1)]"
"tidak banyak kata. Terimakasih buat yang membuat aplikasi nya, sangat membantu ketika sedang bepergian atau tidak membawa Al-Qur'an 👍✨.",5,1,"tidak banyak kata. terimakasih buat yang membuat aplikasi nya, sangat membantu ketika sedang bepergian atau tidak membawa al-qur'an 👍✨.","kata. terimakasih aplikasi nya, membantu bepergian membawa al-qur'an 👍✨.","kata. terimakasih aplikasi nya, membantu bepergian membawa al-qur'an ✨.","['kata', '.', 'terimakasih', 'aplikasi', 'nya', ',', 'membantu', 'bepergian', 'membawa', ""al-qur'an"", '✨', '.']","['kata', '.', ' terima kasih', 'aplikasi', 'nya', ',', 'membantu', 'bepergian', 'membawa', ""al-qur'an"", '✨', '.']","['kata', 'terima kasih', 'nya', 'bantu', 'pergi', 'bawa', 'al-qur an', '']",<FreqDist with 8 samples and 8 outcomes>,"[('kata', 1), ('terima kasih', 1), ('nya', 1), ('bantu', 1), ('pergi', 1)]"
Assalamualaikum wr Wb Kenapa kok yang bisa ditandai terakhir baca cuma surat alfatihah saja yang lain tidak bisa mohon petunjuk atau mungkin aplikasi di perbaiki 🙏,5,1,assalamualaikum wr wb kenapa kok yang bisa ditandai terakhir baca cuma surat alfatihah saja yang lain tidak bisa mohon petunjuk atau mungkin aplikasi di perbaiki 🙏,assalamualaikum wr wb ditandai baca surat alfatihah mohon petunjuk aplikasi perbaiki 🙏,assalamualaikum wr wb ditandai baca surat alfatihah mohon petunjuk aplikasi perbaiki ,"['assalamualaikum', 'wr', 'wb', 'ditandai', 'baca', 'surat', 'alfatihah', 'mohon', 'petunjuk', 'aplikasi', 'perbaiki']","['assalamualaikum', 'wr', 'wb', 'ditandai', 'baca', 'surat', 'alfatihah', 'mohon', 'petunjuk', 'aplikasi', 'perbaiki']","['assalamualaikum', 'wr', 'wb', 'tanda', 'baca', 'surat', 'alfatihah', 'mohon', 'tunjuk', 'baik']",<FreqDist with 10 samples and 10 outcomes>,"[('assalamualaikum', 1), ('wr', 1), ('wb', 1), ('tanda', 1), ('baca', 1)]"
Alkhamdulillah dgn adanya aplikasi ini jadi memudahkan kita untuk membaca Al_Quran kapanpun dan dmn pun tanpa ribet...lengkap dgn alarm adzan sholat 5 wkt ...👍🤩,5,1,alkhamdulillah dgn adanya aplikasi ini jadi memudahkan kita untuk membaca al_quran kapanpun dan dmn pun tanpa ribet...lengkap dgn alarm adzan sholat 5 wkt ...👍🤩,alkhamdulillah dgn aplikasi memudahkan membaca al_quran dmn ribet...lengkap dgn alarm adzan sholat 5 wkt ...👍🤩,alkhamdulillah dgn aplikasi memudahkan membaca al_quran dmn ribet...lengkap dgn alarm adzan sholat 5 wkt ...,"['alkhamdulillah', 'dgn', 'aplikasi', 'memudahkan', 'membaca', 'al_quran', 'dmn', 'ribet', '...', 'lengkap', 'dgn', 'alarm', 'adzan', 'sholat', '5', 'wkt', '...']","['alkhamdulillah', ' dengan', 'aplikasi', 'memudahkan', 'membaca', 'al_quran', 'dimana', 'ribet', '...', 'lengkap', ' dengan', 'alarm', 'adzan', 'sholat', '5', ' waktu', '...']","['alkhamdulillah', 'dengan', 'mudah', 'baca', 'al quran', 'mana', 'ribet lengkap', 'dengan', 'alarm', 'adzan', 'sholat', '5', 'waktu', '']",<FreqDist with 13 samples and 14 outcomes>,"[('dengan', 2), ('alkhamdulillah', 1), ('mudah', 1), ('baca', 1), ('al quran', 1)]"
"Wah, kok setelah di update, widget waktu sholat cuman buat yang premium? 😁 Yasudah lah, cari aplikasi lain saja",3,0,"wah, kok setelah di update, widget waktu sholat cuman buat yang premium? 😁 yasudah lah, cari aplikasi lain saja","wah, update, widget sholat cuman premium? 😁 yasudah lah, cari aplikasi","wah, update, widget sholat cuman premium?  yasudah lah, cari aplikasi","['wah', ',', 'update', ',', 'widget', 'sholat', 'cuman', 'premium', '?', 'yasudah', 'lah', ',', 'cari', 'aplikasi']","['wah', ',', ' terbaru', ',', 'widget', 'sholat', 'cuman', 'premium', '?', 'yasudah', 'lah', ',', 'cari', 'aplikasi']","['wah', 'update', 'widget', 'sholat', 'cuman', 'premium', 'yasudah', 'lah', 'cari']",<FreqDist with 9 samples and 9 outcomes>,"[('wah', 1), ('update', 1), ('widget', 1), ('sholat', 1), ('cuman', 1)]"
sangat bermanfaat. alunan murottalnya indah dan mudah diikuti. sehingga membaca alquran menjadi kegiatan yg menyenangkan.,5,1,sangat bermanfaat. alunan murottalnya indah dan mudah diikuti. sehingga membaca alquran menjadi kegiatan yg menyenangkan.,bermanfaat. alunan murottalnya indah mudah diikuti. membaca alquran kegiatan yg menyenangkan.,bermanfaat. alunan murottalnya indah mudah diikuti. membaca alquran kegiatan yg menyenangkan.,"['bermanfaat', '.', 'alunan', 'murottalnya', 'indah', 'mudah', 'diikuti', '.', 'membaca', 'alquran', 'kegiatan', 'yg', 'menyenangkan', '.']","['bermanfaat', '.', 'alunan', 'murottalnya', 'indah', 'mudah', 'diikuti', '.', 'membaca', 'alquran', 'kegiatan', ' yang', 'menyenangkan', '.']","['manfaat', 'alun', 'murottalnya', 'indah', 'ikut', 'baca', 'alquran', 'giat', 'yang', 'senang']",<FreqDist with 10 samples and 10 outcomes>,"[('manfaat', 1), ('alun', 1), ('murottalnya', 1), ('indah', 1), ('ikut', 1)]"
"Aplikasinya jelek juga ternyata, diperbarui versinya malah nggak ada jadwal sholat, katanya harus ke versi premium.... ""Widget jadwal sholat hanya untuk versi premium"". Jadi nyesel perbarui aplikasi Al Qur'an. Tau gitu mah mending nggak punya aplikasi Al Qur'an aja sekalian jadinya nggak ada kata nyesel",1,-1,"aplikasinya jelek juga ternyata, diperbarui versinya malah nggak ada jadwal sholat, katanya harus ke versi premium.... ""widget jadwal sholat hanya untuk versi premium"". jadi nyesel perbarui aplikasi al qur'an. tau gitu mah mending nggak punya aplikasi al qur'an aja sekalian jadinya nggak ada kata nyesel","aplikasinya jelek ternyata, diperbarui versinya nggak jadwal sholat, versi premium.... ""widget jadwal sholat versi premium"". nyesel perbarui aplikasi al qur'an. tau gitu mah mending nggak aplikasi al qur'an aja nggak nyesel","aplikasinya jelek ternyata, diperbarui versinya nggak jadwal sholat, versi premium.... ""widget jadwal sholat versi premium"". nyesel perbarui aplikasi al qur'an. tau gitu mah mending nggak aplikasi al qur'an aja nggak nyesel","['aplikasinya', 'jelek', 'ternyata', ',', 'diperbarui', 'versinya', 'nggak', 'jadwal', 'sholat', ',', 'versi', 'premium', '....', '``', 'widget', 'jadwal', 'sholat', 'versi', 'premium', ""''"", '.', 'nyesel', 'perbarui', 'aplikasi', 'al', ""qur'an"", '.', 'tau', 'gitu', 'mah', 'mending', 'nggak', 'aplikasi', 'al', ""qur'an"", 'aja', 'nggak', 'nyesel']","['aplikasinya', 'jelek', 'ternyata', ',', 'diperbarui', 'versinya', ' tidak', 'jadwal', 'sholat', ',', 'versi', 'premium', '....', '``', 'widget', 'jadwal', 'sholat', 'versi', 'premium', ""''"", '.', ' sesal', 'perbarui', 'aplikasi', 'al', ""qur'an"", '.', ' tahu', 'gitu', 'mah', ' lebih baik', ' tidak', 'aplikasi', 'al', ""qur'an"", ' saja', ' tidak', ' sesal']","['aplikasi', 'jelek', 'nyata', 'baru', 'versi', 'tidak', 'jadwal', 'sholat', 'versi', 'premium', 'widget', 'jadwal', 'sholat', 'versi', 'premium', 'sesal', 'baru', 'al', 'qur an', 'tahu', 'gitu', 'mah', 'lebih baik', 'tidak', 'al', 'qur an', 'saja', 'tidak', 'sesal']",<FreqDist with 18 samples and 29 outcomes>,"[('versi', 3), ('tidak', 3), ('baru', 2), ('jadwal', 2), ('sholat', 2)]"
interface aplikasinya paling nyaman di antara aplikasi Al-Qur'an lainnya menurut saya.,5,1,interface aplikasinya paling nyaman di antara aplikasi al-qur'an lainnya menurut saya.,interface aplikasinya nyaman aplikasi al-qur'an saya.,interface aplikasinya nyaman aplikasi al-qur'an saya.,"['interface', 'aplikasinya', 'nyaman', 'aplikasi', ""al-qur'an"", 'saya', '.']","['interface', 'aplikasinya', 'nyaman', 'aplikasi', ""al-qur'an"", 'saya', '.']","['interface', 'aplikasi', 'nyaman', 'al-qur an', 'saya']",<FreqDist with 5 samples and 5 outcomes>,"[('interface', 1), ('aplikasi', 1), ('nyaman', 1), ('al-qur an', 1), ('saya', 1)]"
"cocok untuk yang mau murajaah,atau pun ingin membaca Qur'an,dan aplikasi ini mempunyai banyak ke gunaan, pokoknya aplikasi ini bagus",5,1,"cocok untuk yang mau murajaah,atau pun ingin membaca qur'an,dan aplikasi ini mempunyai banyak ke gunaan, pokoknya aplikasi ini bagus","cocok murajaah,atau membaca qur'an,dan aplikasi gunaan, pokoknya aplikasi bagus","cocok murajaah,atau membaca qur'an,dan aplikasi gunaan, pokoknya aplikasi bagus","['cocok', 'murajaah', ',', 'atau', 'membaca', ""qur'an"", ',', 'dan', 'aplikasi', 'gunaan', ',', 'pokoknya', 'aplikasi', 'bagus']","['cocok', 'murajaah', ',', 'atau', 'membaca', ""qur'an"", ',', 'dan', 'aplikasi', 'gunaan', ',', 'pokoknya', 'aplikasi', 'bagus']","['cocok', 'murajaah atau', 'baca', 'qur an dan', 'guna', 'pokok', 'bagus']",<FreqDist with 7 samples and 7 outcomes>,"[('cocok', 1), ('murajaah atau', 1), ('baca', 1), ('qur an dan', 1), ('guna', 1)]"
"sangat membantu untuk mengingatkan waktu sholat , aplikasi ini sangat berguna banget",5,1,"sangat membantu untuk mengingatkan waktu sholat , aplikasi ini sangat berguna banget","membantu sholat , aplikasi berguna banget","membantu sholat , aplikasi berguna banget","['membantu', 'sholat', ',', 'aplikasi', 'berguna', 'banget']","['membantu', 'sholat', ',', 'aplikasi', 'berguna', 'banget']","['bantu', 'sholat', '', 'guna', 'banget']",<FreqDist with 5 samples and 5 outcomes>,"[('bantu', 1), ('sholat', 1), ('', 1), ('guna', 1), ('banget', 1)]"
dengan adanya bacaan Alquran di aplikasi hp sangat memudahkan saya untuk baca Alquran dimanapun saya berada.,5,1,dengan adanya bacaan alquran di aplikasi hp sangat memudahkan saya untuk baca alquran dimanapun saya berada.,bacaan alquran aplikasi hp memudahkan baca alquran dimanapun berada.,bacaan alquran aplikasi hp memudahkan baca alquran dimanapun berada.,"['bacaan', 'alquran', 'aplikasi', 'hp', 'memudahkan', 'baca', 'alquran', 'dimanapun', 'berada', '.']","['bacaan', 'alquran', 'aplikasi', ' seluler', 'memudahkan', 'baca', 'alquran', 'dimanapun', 'berada', '.']","['baca', 'alquran', 'seluler', 'mudah', 'baca', 'alquran', 'mana', 'ada']",<FreqDist with 6 samples and 8 outcomes>,"[('baca', 2), ('alquran', 2), ('seluler', 1), ('mudah', 1), ('mana', 1)]"
"Aplikasinya sangat bagus,berfungsi dengan baik,🙏🙏🙏terimakasih.",5,1,"aplikasinya sangat bagus,berfungsi dengan baik,🙏🙏🙏terimakasih.","aplikasinya bagus,berfungsi baik,🙏🙏🙏terimakasih.","aplikasinya bagus,berfungsi baik,terimakasih.","['aplikasinya', 'bagus', ',', 'berfungsi', 'baik', ',', 'terimakasih', '.']","['aplikasinya', 'bagus', ',', 'berfungsi', 'baik', ',', ' terima kasih', '.']","['aplikasi', 'bagus fungsi', 'baik terimakasih']",<FreqDist with 3 samples and 3 outcomes>,"[('aplikasi', 1), ('bagus fungsi', 1), ('baik terimakasih', 1)]"
"app nya lengkap banget, jangan kebanyakan iklan kalo bisa pada saat di buka menunya.",5,1,"app nya lengkap banget, jangan kebanyakan iklan kalo bisa pada saat di buka menunya.","app nya lengkap banget, kebanyakan iklan kalo buka menunya.","app nya lengkap banget, kebanyakan iklan kalo buka menunya.","['app', 'nya', 'lengkap', 'banget', ',', 'kebanyakan', 'iklan', 'kalo', 'buka', 'menunya', '.']","['aplikasi', 'nya', 'lengkap', 'banget', ',', 'kebanyakan', 'iklan', ' kalau', 'buka', 'menunya', '.']","['aplikasi', 'lengkap', 'banget', 'banyak', 'iklan', 'kalau', 'buka', 'menu']",<FreqDist with 8 samples and 8 outcomes>,"[('aplikasi', 1), ('lengkap', 1), ('banget', 1), ('banyak', 1), ('iklan', 1)]"
"Aplikasi ini sangat membantu saya dalam belajar Al Qur'an dengan terjemahannya, membantu dalam mencari terjemahan ayat Al Qur'an dengan cepat tanpa harus membolak-balik halaman Al Qur'an. Saran saya untuk tafsir Al Qur'annya mungkin bisa ditambahkan lagi tafsir Ibnu Katsir 🙏. Barakallah..",5,1,"aplikasi ini sangat membantu saya dalam belajar al qur'an dengan terjemahannya, membantu dalam mencari terjemahan ayat al qur'an dengan cepat tanpa harus membolak-balik halaman al qur'an. saran saya untuk tafsir al qur'annya mungkin bisa ditambahkan lagi tafsir ibnu katsir 🙏. barakallah..","aplikasi membantu belajar al qur'an terjemahannya, membantu mencari terjemahan ayat al qur'an cepat membolak-balik halaman al qur'an. saran tafsir al qur'annya tafsir ibnu katsir 🙏. barakallah..","aplikasi membantu belajar al qur'an terjemahannya, membantu mencari terjemahan ayat al qur'an cepat membolak-balik halaman al qur'an. saran tafsir al qur'annya tafsir ibnu katsir . barakallah..","['aplikasi', 'membantu', 'belajar', 'al', ""qur'an"", 'terjemahannya', ',', 'membantu', 'mencari', 'terjemahan', 'ayat', 'al', ""qur'an"", 'cepat', 'membolak-balik', 'halaman', 'al', ""qur'an"", '.', 'saran', 'tafsir', 'al', ""qur'annya"", 'tafsir', 'ibnu', 'katsir', '.', 'barakallah', '..']","['aplikasi', 'membantu', 'belajar', 'al', ""qur'an"", 'terjemahannya', ',', 'membantu', 'mencari', 'terjemahan', 'ayat', 'al', ""qur'an"", 'cepat', 'membolak-balik', 'halaman', 'al', ""qur'an"", '.', 'saran', 'tafsir', 'al', ""qur'annya"", 'tafsir', 'ibnu', 'katsir', '.', 'barakallah', '..']","['bantu', 'ajar', 'al', 'qur an', 'terjemah', 'bantu', 'cari', 'terjemah', 'ayat', 'al', 'qur an', 'membolak-balik', 'halaman', 'al', 'qur an', 'saran', 'tafsir', 'al', 'qur annya', 'tafsir', 'ibnu', 'katsir', '', 'barakallah']",<FreqDist with 16 samples and 24 outcomes>,"[('al', 4), ('qur an', 3), ('bantu', 2), ('terjemah', 2), ('tafsir', 2)]"
Aplikasi yang sangat bermanfaat bagi hidup saya sebagai umat muslim. Semoga pahala mengalir untuk semua yang berkaitan dengan oembuatan aplikasi ini. Terima kasih telah menciptakan aplikasi yang memiliki manfaat besar dalam perjalanan hidup ini.,5,1,aplikasi yang sangat bermanfaat bagi hidup saya sebagai umat muslim. semoga pahala mengalir untuk semua yang berkaitan dengan oembuatan aplikasi ini. terima kasih telah menciptakan aplikasi yang memiliki manfaat besar dalam perjalanan hidup ini.,aplikasi bermanfaat hidup umat muslim. semoga pahala mengalir berkaitan oembuatan aplikasi ini. terima kasih menciptakan aplikasi memiliki manfaat perjalanan hidup ini.,aplikasi bermanfaat hidup umat muslim. semoga pahala mengalir berkaitan oembuatan aplikasi ini. terima kasih menciptakan aplikasi memiliki manfaat perjalanan hidup ini.,"['aplikasi', 'bermanfaat', 'hidup', 'umat', 'muslim', '.', 'semoga', 'pahala', 'mengalir', 'berkaitan', 'oembuatan', 'aplikasi', 'ini', '.', 'terima', 'kasih', 'menciptakan', 'aplikasi', 'memiliki', 'manfaat', 'perjalanan', 'hidup', 'ini', '.']","['aplikasi', 'bermanfaat', 'hidup', 'umat', 'muslim', '.', 'semoga', 'pahala', 'mengalir', 'berkaitan', 'pembuatan', 'aplikasi', 'ini', '.', 'terima', 'kasih', 'menciptakan', 'aplikasi', 'memiliki', 'manfaat', 'perjalanan', 'hidup', 'ini', '.']","['manfaat', 'hidup', 'umat', 'muslim', 'moga', 'pahala', 'alir', 'kait', 'buat', 'ini', 'terima', 'kasih', 'cipta', 'manfaat', 'jalan', 'hidup', 'ini']",<FreqDist with 14 samples and 17 outcomes>,"[('manfaat', 2), ('hidup', 2), ('ini', 2), ('umat', 1), ('muslim', 1)]"
bagus bgt... dengan ada nya aplikasi ini mempermudah kita untuk mendengar kan ayat2 al-quran secara online....,4,1,bagus bgt... dengan ada nya aplikasi ini mempermudah kita untuk mendengar kan ayat2 al-quran secara online....,bagus bgt... nya aplikasi mempermudah mendengar ayat2 al-quran online....,bagus bgt... nya aplikasi mempermudah mendengar ayat2 al-quran online....,"['bagus', 'bgt', '...', 'nya', 'aplikasi', 'mempermudah', 'mendengar', 'ayat2', 'al-quran', 'online', '....']","['bagus', ' banget', '...', 'nya', 'aplikasi', 'mempermudah', 'mendengar', 'ayat2', 'al-quran', 'online', '....']","['bagus', 'bgt', 'mudah', 'dengar', 'ayat2', 'al-quran', 'online']",<FreqDist with 7 samples and 7 outcomes>,"[('bagus', 1), ('bgt', 1), ('mudah', 1), ('dengar', 1), ('ayat2', 1)]"
