content,score,Label,textCaseFolding,textStopWord,textClean,textTokens,teksNormalized,textSteam
Alkhamdulillah dgn adanya aplikasi ini jadi memudahkan kita untuk membaca Al_Quran kapanpun dan dmn pun tanpa ribet...lengkap dgn alarm adzan sholat 5 wkt ...👍🤩,5,1,alkhamdulillah dgn adanya aplikasi ini jadi memudahkan kita untuk membaca al_quran kapanpun dan dmn pun tanpa ribet...lengkap dgn alarm adzan sholat 5 wkt ...👍🤩,alkhamdulillah dgn aplikasi memudahkan membaca al_quran dmn ribet...lengkap dgn alarm adzan sholat 5 wkt ...👍🤩,alkhamdulillah dgn aplikasi memudahkan membaca al_quran dmn ribet...lengkap dgn alarm adzan sholat 5 wkt ...,"['alkhamdulillah', 'dgn', 'aplikasi', 'memudahkan', 'membaca', 'al_quran', 'dmn', 'ribet', '...', 'lengkap', 'dgn', 'alarm', 'adzan', 'sholat', '5', 'wkt', '...']","['alkhamdulillah', ' dengan', 'aplikasi', 'memudahkan', 'membaca', 'al_quran', 'dimana', 'ribet', '...', 'lengkap', ' dengan', 'alarm', 'adzan', 'sholat', '5', ' waktu', '...']","['alkhamdulillah', ' dengan', 'aplikasi', 'memudahkan', 'membaca', 'al_quran', 'dimana', 'ribet', '...', 'lengkap', ' dengan', 'alarm', 'adzan', 'sholat', '5', ' waktu', '...']"
"Wah, kok setelah di update, widget waktu sholat cuman buat yang premium? 😁 Yasudah lah, cari aplikasi lain saja",3,0,"wah, kok setelah di update, widget waktu sholat cuman buat yang premium? 😁 yasudah lah, cari aplikasi lain saja","wah, update, widget sholat cuman premium? 😁 yasudah lah, cari aplikasi","wah, update, widget sholat cuman premium?  yasudah lah, cari aplikasi","['wah', ',', 'update', ',', 'widget', 'sholat', 'cuman', 'premium', '?', 'yasudah', 'lah', ',', 'cari', 'aplikasi']","['wah', ',', ' terbaru', ',', 'widget', 'sholat', 'cuman', 'premium', '?', 'yasudah', 'lah', ',', 'cari', 'aplikasi']","['wah', ',', ' terbaru', ',', 'widget', 'sholat', 'cuman', 'premium', '?', 'yasudah', 'lah', ',', 'cari', 'aplikasi']"
sangat bermanfaat. alunan murottalnya indah dan mudah diikuti. sehingga membaca alquran menjadi kegiatan yg menyenangkan.,5,1,sangat bermanfaat. alunan murottalnya indah dan mudah diikuti. sehingga membaca alquran menjadi kegiatan yg menyenangkan.,bermanfaat. alunan murottalnya indah mudah diikuti. membaca alquran kegiatan yg menyenangkan.,bermanfaat. alunan murottalnya indah mudah diikuti. membaca alquran kegiatan yg menyenangkan.,"['bermanfaat', '.', 'alunan', 'murottalnya', 'indah', 'mudah', 'diikuti', '.', 'membaca', 'alquran', 'kegiatan', 'yg', 'menyenangkan', '.']","['bermanfaat', '.', 'alunan', 'murottalnya', 'indah', 'mudah', 'diikuti', '.', 'membaca', 'alquran', 'kegiatan', ' yang', 'menyenangkan', '.']","['bermanfaat', '.', 'alunan', 'murottalnya', 'indah', 'mudah', 'diikuti', '.', 'membaca', 'alquran', 'kegiatan', ' yang', 'menyenangkan', '.']"
"Aplikasinya jelek juga ternyata, diperbarui versinya malah nggak ada jadwal sholat, katanya harus ke versi premium.... ""Widget jadwal sholat hanya untuk versi premium"". Jadi nyesel perbarui aplikasi Al Qur'an. Tau gitu mah mending nggak punya aplikasi Al Qur'an aja sekalian jadinya nggak ada kata nyesel",1,-1,"aplikasinya jelek juga ternyata, diperbarui versinya malah nggak ada jadwal sholat, katanya harus ke versi premium.... ""widget jadwal sholat hanya untuk versi premium"". jadi nyesel perbarui aplikasi al qur'an. tau gitu mah mending nggak punya aplikasi al qur'an aja sekalian jadinya nggak ada kata nyesel","aplikasinya jelek ternyata, diperbarui versinya nggak jadwal sholat, versi premium.... ""widget jadwal sholat versi premium"". nyesel perbarui aplikasi al qur'an. tau gitu mah mending nggak aplikasi al qur'an aja nggak nyesel","aplikasinya jelek ternyata, diperbarui versinya nggak jadwal sholat, versi premium.... ""widget jadwal sholat versi premium"". nyesel perbarui aplikasi al qur'an. tau gitu mah mending nggak aplikasi al qur'an aja nggak nyesel","['aplikasinya', 'jelek', 'ternyata', ',', 'diperbarui', 'versinya', 'nggak', 'jadwal', 'sholat', ',', 'versi', 'premium', '....', '``', 'widget', 'jadwal', 'sholat', 'versi', 'premium', ""''"", '.', 'nyesel', 'perbarui', 'aplikasi', 'al', ""qur'an"", '.', 'tau', 'gitu', 'mah', 'mending', 'nggak', 'aplikasi', 'al', ""qur'an"", 'aja', 'nggak', 'nyesel']","['aplikasinya', 'jelek', 'ternyata', ',', 'diperbarui', 'versinya', ' tidak', 'jadwal', 'sholat', ',', 'versi', 'premium', '....', '``', 'widget', 'jadwal', 'sholat', 'versi', 'premium', ""''"", '.', ' sesal', 'perbarui', 'aplikasi', 'al', ""qur'an"", '.', ' tahu', 'gitu', 'mah', ' lebih baik', ' tidak', 'aplikasi', 'al', ""qur'an"", ' saja', ' tidak', ' sesal']","['aplikasinya', 'jelek', 'ternyata', ',', 'diperbarui', 'versinya', ' tidak', 'jadwal', 'sholat', ',', 'versi', 'premium', '....', '``', 'widget', 'jadwal', 'sholat', 'versi', 'premium', ""''"", '.', ' sesal', 'perbarui', 'aplikasi', 'al', ""qur'an"", '.', ' tahu', 'gitu', 'mah', ' lebih baik', ' tidak', 'aplikasi', 'al', ""qur'an"", ' saja', ' tidak', ' sesal']"
interface aplikasinya paling nyaman di antara aplikasi Al-Qur'an lainnya menurut saya.,5,1,interface aplikasinya paling nyaman di antara aplikasi al-qur'an lainnya menurut saya.,interface aplikasinya nyaman aplikasi al-qur'an saya.,interface aplikasinya nyaman aplikasi al-qur'an saya.,"['interface', 'aplikasinya', 'nyaman', 'aplikasi', ""al-qur'an"", 'saya', '.']","['interface', 'aplikasinya', 'nyaman', 'aplikasi', ""al-qur'an"", 'saya', '.']","['interface', 'aplikasinya', 'nyaman', 'aplikasi', ""al-qur'an"", 'saya', '.']"
"cocok untuk yang mau murajaah,atau pun ingin membaca Qur'an,dan aplikasi ini mempunyai banyak ke gunaan, pokoknya aplikasi ini bagus",5,1,"cocok untuk yang mau murajaah,atau pun ingin membaca qur'an,dan aplikasi ini mempunyai banyak ke gunaan, pokoknya aplikasi ini bagus","cocok murajaah,atau membaca qur'an,dan aplikasi gunaan, pokoknya aplikasi bagus","cocok murajaah,atau membaca qur'an,dan aplikasi gunaan, pokoknya aplikasi bagus","['cocok', 'murajaah', ',', 'atau', 'membaca', ""qur'an"", ',', 'dan', 'aplikasi', 'gunaan', ',', 'pokoknya', 'aplikasi', 'bagus']","['cocok', 'murajaah', ',', 'atau', 'membaca', ""qur'an"", ',', 'dan', 'aplikasi', 'gunaan', ',', 'pokoknya', 'aplikasi', 'bagus']","['cocok', 'murajaah', ',', 'atau', 'membaca', ""qur'an"", ',', 'dan', 'aplikasi', 'gunaan', ',', 'pokoknya', 'aplikasi', 'bagus']"
"sangat membantu untuk mengingatkan waktu sholat , aplikasi ini sangat berguna banget",5,1,"sangat membantu untuk mengingatkan waktu sholat , aplikasi ini sangat berguna banget","membantu sholat , aplikasi berguna banget","membantu sholat , aplikasi berguna banget","['membantu', 'sholat', ',', 'aplikasi', 'berguna', 'banget']","['membantu', 'sholat', ',', 'aplikasi', 'berguna', 'banget']","['membantu', 'sholat', ',', 'aplikasi', 'berguna', 'banget']"
dengan adanya bacaan Alquran di aplikasi hp sangat memudahkan saya untuk baca Alquran dimanapun saya berada.,5,1,dengan adanya bacaan alquran di aplikasi hp sangat memudahkan saya untuk baca alquran dimanapun saya berada.,bacaan alquran aplikasi hp memudahkan baca alquran dimanapun berada.,bacaan alquran aplikasi hp memudahkan baca alquran dimanapun berada.,"['bacaan', 'alquran', 'aplikasi', 'hp', 'memudahkan', 'baca', 'alquran', 'dimanapun', 'berada', '.']","['bacaan', 'alquran', 'aplikasi', ' seluler', 'memudahkan', 'baca', 'alquran', 'dimanapun', 'berada', '.']","['bacaan', 'alquran', 'aplikasi', ' seluler', 'memudahkan', 'baca', 'alquran', 'dimanapun', 'berada', '.']"
"Aplikasinya sangat bagus,berfungsi dengan baik,🙏🙏🙏terimakasih.",5,1,"aplikasinya sangat bagus,berfungsi dengan baik,🙏🙏🙏terimakasih.","aplikasinya bagus,berfungsi baik,🙏🙏🙏terimakasih.","aplikasinya bagus,berfungsi baik,terimakasih.","['aplikasinya', 'bagus', ',', 'berfungsi', 'baik', ',', 'terimakasih', '.']","['aplikasinya', 'bagus', ',', 'berfungsi', 'baik', ',', ' terima kasih', '.']","['aplikasinya', 'bagus', ',', 'berfungsi', 'baik', ',', ' terima kasih', '.']"
"app nya lengkap banget, jangan kebanyakan iklan kalo bisa pada saat di buka menunya.",5,1,"app nya lengkap banget, jangan kebanyakan iklan kalo bisa pada saat di buka menunya.","app nya lengkap banget, kebanyakan iklan kalo buka menunya.","app nya lengkap banget, kebanyakan iklan kalo buka menunya.","['app', 'nya', 'lengkap', 'banget', ',', 'kebanyakan', 'iklan', 'kalo', 'buka', 'menunya', '.']","['aplikasi', 'nya', 'lengkap', 'banget', ',', 'kebanyakan', 'iklan', ' kalau', 'buka', 'menunya', '.']","['aplikasi', 'nya', 'lengkap', 'banget', ',', 'kebanyakan', 'iklan', ' kalau', 'buka', 'menunya', '.']"
"Aplikasi ini sangat membantu saya dalam belajar Al Qur'an dengan terjemahannya, membantu dalam mencari terjemahan ayat Al Qur'an dengan cepat tanpa harus membolak-balik halaman Al Qur'an. Saran saya untuk tafsir Al Qur'annya mungkin bisa ditambahkan lagi tafsir Ibnu Katsir 🙏. Barakallah..",5,1,"aplikasi ini sangat membantu saya dalam belajar al qur'an dengan terjemahannya, membantu dalam mencari terjemahan ayat al qur'an dengan cepat tanpa harus membolak-balik halaman al qur'an. saran saya untuk tafsir al qur'annya mungkin bisa ditambahkan lagi tafsir ibnu katsir 🙏. barakallah..","aplikasi membantu belajar al qur'an terjemahannya, membantu mencari terjemahan ayat al qur'an cepat membolak-balik halaman al qur'an. saran tafsir al qur'annya tafsir ibnu katsir 🙏. barakallah..","aplikasi membantu belajar al qur'an terjemahannya, membantu mencari terjemahan ayat al qur'an cepat membolak-balik halaman al qur'an. saran tafsir al qur'annya tafsir ibnu katsir . barakallah..","['aplikasi', 'membantu', 'belajar', 'al', ""qur'an"", 'terjemahannya', ',', 'membantu', 'mencari', 'terjemahan', 'ayat', 'al', ""qur'an"", 'cepat', 'membolak-balik', 'halaman', 'al', ""qur'an"", '.', 'saran', 'tafsir', 'al', ""qur'annya"", 'tafsir', 'ibnu', 'katsir', '.', 'barakallah', '..']","['aplikasi', 'membantu', 'belajar', 'al', ""qur'an"", 'terjemahannya', ',', 'membantu', 'mencari', 'terjemahan', 'ayat', 'al', ""qur'an"", 'cepat', 'membolak-balik', 'halaman', 'al', ""qur'an"", '.', 'saran', 'tafsir', 'al', ""qur'annya"", 'tafsir', 'ibnu', 'katsir', '.', 'barakallah', '..']","['aplikasi', 'membantu', 'belajar', 'al', ""qur'an"", 'terjemahannya', ',', 'membantu', 'mencari', 'terjemahan', 'ayat', 'al', ""qur'an"", 'cepat', 'membolak-balik', 'halaman', 'al', ""qur'an"", '.', 'saran', 'tafsir', 'al', ""qur'annya"", 'tafsir', 'ibnu', 'katsir', '.', 'barakallah', '..']"
Aplikasi yang sangat bermanfaat bagi hidup saya sebagai umat muslim. Semoga pahala mengalir untuk semua yang berkaitan dengan oembuatan aplikasi ini. Terima kasih telah menciptakan aplikasi yang memiliki manfaat besar dalam perjalanan hidup ini.,5,1,aplikasi yang sangat bermanfaat bagi hidup saya sebagai umat muslim. semoga pahala mengalir untuk semua yang berkaitan dengan oembuatan aplikasi ini. terima kasih telah menciptakan aplikasi yang memiliki manfaat besar dalam perjalanan hidup ini.,aplikasi bermanfaat hidup umat muslim. semoga pahala mengalir berkaitan oembuatan aplikasi ini. terima kasih menciptakan aplikasi memiliki manfaat perjalanan hidup ini.,aplikasi bermanfaat hidup umat muslim. semoga pahala mengalir berkaitan oembuatan aplikasi ini. terima kasih menciptakan aplikasi memiliki manfaat perjalanan hidup ini.,"['aplikasi', 'bermanfaat', 'hidup', 'umat', 'muslim', '.', 'semoga', 'pahala', 'mengalir', 'berkaitan', 'oembuatan', 'aplikasi', 'ini', '.', 'terima', 'kasih', 'menciptakan', 'aplikasi', 'memiliki', 'manfaat', 'perjalanan', 'hidup', 'ini', '.']","['aplikasi', 'bermanfaat', 'hidup', 'umat', 'muslim', '.', 'semoga', 'pahala', 'mengalir', 'berkaitan', 'pembuatan', 'aplikasi', 'ini', '.', 'terima', 'kasih', 'menciptakan', 'aplikasi', 'memiliki', 'manfaat', 'perjalanan', 'hidup', 'ini', '.']","['aplikasi', 'bermanfaat', 'hidup', 'umat', 'muslim', '.', 'semoga', 'pahala', 'mengalir', 'berkaitan', 'pembuatan', 'aplikasi', 'ini', '.', 'terima', 'kasih', 'menciptakan', 'aplikasi', 'memiliki', 'manfaat', 'perjalanan', 'hidup', 'ini', '.']"
bagus bgt... dengan ada nya aplikasi ini mempermudah kita untuk mendengar kan ayat2 al-quran secara online....,4,1,bagus bgt... dengan ada nya aplikasi ini mempermudah kita untuk mendengar kan ayat2 al-quran secara online....,bagus bgt... nya aplikasi mempermudah mendengar ayat2 al-quran online....,bagus bgt... nya aplikasi mempermudah mendengar ayat2 al-quran online....,"['bagus', 'bgt', '...', 'nya', 'aplikasi', 'mempermudah', 'mendengar', 'ayat2', 'al-quran', 'online', '....']","['bagus', ' banget', '...', 'nya', 'aplikasi', 'mempermudah', 'mendengar', 'ayat2', 'al-quran', 'online', '....']","['bagus', ' banget', '...', 'nya', 'aplikasi', 'mempermudah', 'mendengar', 'ayat2', 'al-quran', 'online', '....']"
Semoga apk Al Qur'an Indonesia makin bagus dan makin diminati oleh pembaca Al Qur'an di Indonesia.,5,1,semoga apk al qur'an indonesia makin bagus dan makin diminati oleh pembaca al qur'an di indonesia.,semoga apk al qur'an indonesia bagus diminati pembaca al qur'an indonesia.,semoga apk al qur'an indonesia bagus diminati pembaca al qur'an indonesia.,"['semoga', 'apk', 'al', ""qur'an"", 'indonesia', 'bagus', 'diminati', 'pembaca', 'al', ""qur'an"", 'indonesia', '.']","['semoga', ' aplikasi', 'al', ""qur'an"", 'indonesia', 'bagus', 'diminati', 'pembaca', 'al', ""qur'an"", 'indonesia', '.']","['semoga', ' aplikasi', 'al', ""qur'an"", 'indonesia', 'bagus', 'diminati', 'pembaca', 'al', ""qur'an"", 'indonesia', '.']"
Aplikasi yang sangat membantu bisa di gunakan di mana pun dan bisa untuk mengingat kan kita sholat saya sangat tertarik dengan aplikasi ini aplikasi Al-Qur'an yang bagus sekali,5,1,aplikasi yang sangat membantu bisa di gunakan di mana pun dan bisa untuk mengingat kan kita sholat saya sangat tertarik dengan aplikasi ini aplikasi al-qur'an yang bagus sekali,aplikasi membantu sholat tertarik aplikasi aplikasi al-qur'an bagus,aplikasi membantu sholat tertarik aplikasi aplikasi al-qur'an bagus,"['aplikasi', 'membantu', 'sholat', 'tertarik', 'aplikasi', 'aplikasi', ""al-qur'an"", 'bagus']","['aplikasi', 'membantu', 'sholat', 'tertarik', 'aplikasi', 'aplikasi', ""al-qur'an"", 'bagus']","['aplikasi', 'membantu', 'sholat', 'tertarik', 'aplikasi', 'aplikasi', ""al-qur'an"", 'bagus']"
"Untuk update ke depan, tambahkan tanda ibtida'nya Tanda berhenti dan mulai jika ayatnya panjang, itu sangat mempermudah.",5,1,"untuk update ke depan, tambahkan tanda ibtida'nya tanda berhenti dan mulai jika ayatnya panjang, itu sangat mempermudah.","update depan, tambahkan tanda ibtida'nya tanda berhenti ayatnya panjang, mempermudah.","update depan, tambahkan tanda ibtida'nya tanda berhenti ayatnya panjang, mempermudah.","['update', 'depan', ',', 'tambahkan', 'tanda', ""ibtida'nya"", 'tanda', 'berhenti', 'ayatnya', 'panjang', ',', 'mempermudah', '.']","[' terbaru', 'depan', ',', 'tambahkan', 'tanda', ""ibtida'nya"", 'tanda', 'berhenti', 'ayatnya', 'panjang', ',', 'mempermudah', '.']","[' terbaru', 'depan', ',', 'tambahkan', 'tanda', ""ibtida'nya"", 'tanda', 'berhenti', 'ayatnya', 'panjang', ',', 'mempermudah', '.']"
